Manufacturer,Model,Vehicle_type,Latest_Launch,Units_Price,Units_Sold ,Cost_incurred,Revenue,Cost,Profit
Chrysler,300M,Passenger,02-10-2012,29.185,30.696,18.23,895.86276,559.58808,336.27468
Dodge,Neon,Passenger,12-12-2011,12.64,76.034,7.75,961.06976,589.2635,371.80626
Dodge,Avenger,Passenger,07-01-2012,19.045,4.734,12.545,90.15903,59.38803,30.771
Dodge,Stratus,Passenger,10/31/2011,20.23,71.186,10.185,1440.09278,725.02941,715.06337
Dodge,Intrepid,Passenger,06-02-2012,22.505,88.028,12.275,1981.07014,1080.5437,900.52644
Dodge,Viper,Passenger,08-07-2011,69.725,0.916,58.47,63.8681,53.55852,10.30958
Dodge,Ram Pickup,Car,03-06-2012,19.46,227.061,15.06,4418.60706,3419.53866,999.0684
Dodge,Ram Wagon,Car,01-06-2012,21.315,16.767,15.51,357.388605,260.05617,97.332435
Dodge,Ram Van,Car,7/26/2012,18.575,31.038,13.425,576.53085,416.68515,159.8457
Dodge,Dakota,Car,11/25/2011,16.98,111.313,11.26,1890.09474,1253.38438,636.71036
Dodge,Durango,Car,6/27/2012,26.31,101.323,18.12,2665.80813,1835.97276,829.83537
Dodge,Caravan,Car,09-01-2011,19.565,181.749,12.025,3555.919185,2185.531725,1370.38746
Ford,Escort,Passenger,3/31/2012,12.07,70.227,7.425,847.63989,521.435475,326.204415
Ford,Mustang,Passenger,1/31/2012,21.56,113.369,12.76,2444.23564,1446.58844,997.6472
Ford,Contour,Passenger,8/20/2012,17.035,35.068,8.835,597.38338,309.82578,287.5576
Ford,Taurus,Passenger,12/20/2011,17.885,245.815,10.055,4396.401275,2471.669825,1924.73145
Ford,Focus,Passenger,7/22/2012,12.315,175.67,6.14,2163.37605,1078.6138,1084.76225
Ford,Crown Victoria,Passenger,9/26/2011,22.195,63.403,14.21,1407.229585,900.95663,506.272955
Ford,Explorer,Car,4/25/2012,31.93,276.747,16.64,8836.53171,4605.07008,4231.46163
Ford,Windstar,Car,2/25/2012,21.41,155.787,13.175,3335.39967,2052.493725,1282.905945
Ford,Expedition,Car,9/14/2012,36.135,125.338,23.575,4529.08863,2954.84335,1574.24528
Ford,Ranger,Car,1/14/2012,12.05,220.65,7.85,2658.8325,1732.1025,926.73
Ford,F-Series,Car,8/16/2012,26.935,540.561,15.075,14560.01054,8148.957075,6411.05346
Honda,Civic,Passenger,10/21/2011,12.885,199.685,9.85,2572.941225,1966.89725,606.043975
Honda,Accord,Passenger,5/20/2012,15.35,230.902,13.21,3544.3457,3050.21542,494.13028
Honda,CR-V,Car,3/21/2012,20.55,73.203,17.71,1504.32165,1296.42513,207.89652
Honda,Passport,Car,10-09-2012,26.6,12.855,17.525,341.943,225.283875,116.659125
Honda,Odyssey,Car,02-08-2012,26,76.029,19.49,1976.754,1481.80521,494.94879
Hyundai,Accent,Passenger,09-10-2012,9.699,41.184,5.86,399.443616,241.33824,158.105376
Hyundai,Elantra,Passenger,11/15/2011,11.799,66.692,7.825,786.898908,521.8649,265.034008
Hyundai,Sonata,Passenger,6/14/2012,14.999,29.45,8.91,441.72055,262.3995,179.32105
Infiniti,I30,Passenger,4/15/2012,29.465,23.713,19.69,698.703545,466.90897,231.794575
Jaguar,S-Type,Passenger,11-03-2012,42.8,15.467,23.04,661.9876,356.35968,305.62792
Jeep,Wrangler,Car,03-04-2012,14.46,55.557,13.475,803.35422,748.630575,54.723645
Jeep,Cherokee,Car,10-05-2012,21.62,80.556,13.775,1741.62072,1109.6589,631.96182
Jeep,Grand Cherokee,Car,12-10-2011,26.895,157.04,18.81,4223.5908,2953.9224,1269.6684
Lexus,ES300,Passenger,07-09-2012,31.505,24.072,26.975,758.38836,649.3422,109.04616
Lexus,GS300,Passenger,05-10-2012,37.805,12.698,32.075,480.04789,407.28835,72.75954
Lexus,GS400,Passenger,11/28/2012,46.305,3.334,25.55,154.38087,85.1837,69.19717
Lexus,LS400,Passenger,3/29/2012,54.005,6.375,40.375,344.281875,257.390625,86.89125
Lexus,LX470,Car,10/30/2012,60.105,9.126,50.45,548.51823,460.4067,88.11153
Lexus,RX300,Car,01-04-2012,34.605,51.238,26.43,1773.09099,1354.22034,418.87065
Lincoln,Continental,Passenger,08-03-2012,39.08,13.798,20.525,539.22584,283.20395,256.02189
Lincoln,Town car,Passenger,06-04-2012,43.33,48.911,21.725,2119.31363,1062.591475,1056.722155
Lincoln,Navigator,Car,12/23/2012,42.66,22.925,27.89,977.9805,639.37825,338.60225
Mitsubishi,Mirage,Passenger,4/23/2012,13.987,26.232,8.325,366.906984,218.3814,148.525584
Mitsubishi,Eclipse,Passenger,11/24/2012,19.047,42.541,10.395,810.278427,442.213695,368.064732
Mitsubishi,Galant,Passenger,1/29/2012,17.357,55.616,10.595,965.326912,589.25152,376.075392
Mitsubishi,Diamante,Passenger,8/28/2012,24.997,5.711,16.575,142.757867,94.659825,48.098042
Mitsubishi,3000GT,Passenger,6/29/2012,25.45,0.11,20.94,2.7995,2.3034,0.4961
Mitsubishi,Montero,Car,1/17/2012,31.807,11.337,19.125,360.595959,216.820125,143.775834
Mitsubishi,Montero Sport,Car,5/18/2012,22.527,39.348,13.88,886.392396,546.15024,340.242156
Mercury,Mystique,Passenger,12/19/2012,16.24,14.351,8.8,233.06024,126.2888,106.77144
Mercury,Cougar,Passenger,2/23/2012,16.54,26.529,13.89,438.78966,368.48781,70.30185
Mercury,Sable,Passenger,9/22/2012,19.035,67.956,11.03,1293.54246,749.55468,543.98778
Mercury,Grand Marquis,Passenger,7/24/2012,22.605,81.174,14.875,1834.93827,1207.46325,627.47502
Mercury,Mountaineer,Car,2/13/2008,27.56,27.609,20.43,760.90404,564.05187,196.85217
Mercury,Villager,Car,10/20/2009,22.51,20.38,14.795,458.7538,301.5221,157.2317
Mercedes-B,C-Class,Passenger,4/24/2011,31.75,18.392,26.05,583.946,479.1116,104.8344
Mercedes-B,E-Class,Passenger,07-12-2011,49.9,27.602,41.45,1377.3398,1144.1029,233.2369
Mercedes-B,S-Class,Passenger,6/13/2011,69.7,16.774,50.375,1169.1478,844.99025,324.15755
Mercedes-B,SL-Class,Passenger,3/17/2011,82.6,3.311,58.6,273.4886,194.0246,79.464
Mercedes-B,SLK,Passenger,1/16/2011,38.9,7.998,28.9,311.1222,231.1422,79.98
Mercedes-B,SLK230,Passenger,08-06-2011,41,1.526,20,62.566,30.52,32.046
Mercedes-B,CLK Coupe,Passenger,07-08-2011,41.6,11.592,20.06,482.2272,232.53552,249.69168
Mercedes-B,CL500,Passenger,04-11-2011,85.5,0.954,64.83,81.567,61.84782,19.71918
Mercedes-B,M-Class,Car,02-10-2011,35.3,28.976,21.33,1022.8528,618.05808,404.79472
Nissan,Sentra,Passenger,8/31/2011,13.499,42.643,8.45,575.637857,360.33335,215.304507
Nissan,Altima,Passenger,08-02-2011,20.39,88.094,11.295,1796.23666,995.02173,801.21493
Nissan,Maxima,Passenger,05-06-2011,26.249,79.853,15.125,2096.061397,1207.776625,888.284772
Nissan,Quest,Car,03-07-2011,26.399,27.308,15.38,720.903892,419.99704,300.906852
Nissan,Pathfinder,Car,9/25/2011,29.299,42.574,17.81,1247.375626,758.24294,489.132686
Nissan,Xterra,Car,1/24/2011,22.799,54.158,7.93,1234.748242,429.47294,805.275302
Nissan,Frontier,Car,8/27/2011,17.89,65.005,8.69,1162.93945,564.89345,598.046
Oldsmobile,Cutlass,Passenger,5/31/2011,18.145,1.112,11.24,20.17724,12.49888,7.67836
Oldsmobile,Intrigue,Passenger,04-01-2011,24.15,38.554,19.99,931.0791,770.69446,160.38464
Oldsmobile,Alero,Passenger,10/20/2009,18.27,80.255,13.79,1466.25885,1106.71645,359.5424
Oldsmobile,Aurora,Passenger,2/18/2011,36.229,14.69,19.89,532.20401,292.1841,240.01991
Oldsmobile,Bravada,Car,9/21/2011,31.598,20.017,19.925,632.497166,398.838725,233.658441
Oldsmobile,Silhouette,Car,6/25/2011,25.345,24.361,15.24,617.429545,371.26164,246.167905
Plymouth,Neon,Passenger,4/26/2011,12.64,32.734,7.75,413.75776,253.6885,160.06926
Plymouth,Breeze,Passenger,11/14/2011,16.08,5.24,9.8,84.2592,51.352,32.9072
Plymouth,Voyager,Car,4/24/2011,18.85,24.155,12.025,455.32175,290.463875,164.857875
Plymouth,Prowler,Passenger,6/27/2012,43,1.872,38,80.496,71.136,9.36
Pontiac,Sunfire,Passenger,1/25/2012,21.61,51.645,13.79,1116.04845,712.18455,403.8639
Pontiac,Grand Am,Passenger,11/26/2012,19.72,131.097,10.29,2585.23284,1348.98813,1236.24471
Pontiac,Firebird,Passenger,6/16/2012,25.31,19.911,17.805,503.94741,354.515355,149.432055
Pontiac,Grand Prix,Passenger,10/15/2012,21.665,92.364,14.01,2001.06606,1294.01964,707.04642
Pontiac,Bonneville,Passenger,5/18/2011,23.755,35.945,13.225,853.873475,475.372625,378.50085
Pontiac,Montana,Car,7/22/2012,25.635,39.572,22,1014.42822,870.584,143.84422
Porsche,Boxter,Passenger,2/19/2012,41.43,8.982,41.25,372.12426,370.5075,1.61676
Porsche,Carrera Coupe,Passenger,12/21/2012,71.02,1.28,60.625,90.9056,77.6,13.3056
Porsche,Carrera Cabrio,Passenger,07-11-2011,74.97,1.866,67.55,139.89402,126.0483,13.84572
Saab,Quantam,Passenger,11-09-2012,33.12,9.191,27,304.40592,248.157,56.24892
Saab,Ursaab,Passenger,06-12-2011,26.1,12.115,18,316.2015,218.07,98.1315
Saturn,SL,Passenger,8/16/2012,10.685,80.62,9.2,861.4247,741.704,119.7207
Saturn,SC,Passenger,3/16/2011,12.535,24.546,10.59,307.68411,259.94214,47.74197
Saturn,SW,Passenger,1/15/2011,14.29,5.223,10.79,74.63667,56.35617,18.2805
Saturn,LW,Passenger,08-05-2011,18.835,8.472,13,159.57012,110.136,49.43412
Saturn,LS,Passenger,12-04-2012,15.01,49.989,7.77,750.33489,388.41453,361.92036
Subaru,Outback,Passenger,07-07-2011,22.695,47.107,11.11,1069.093365,523.35877,545.734595
Subaru,Forester,Car,09-10-2012,20.095,33.028,11.11,663.69766,366.94108,296.75658
Toyota,Corolla,Passenger,04-11-2011,13.108,142.535,10.025,1868.34878,1428.913375,439.435405
Toyota,Camry,Passenger,02-10-2011,17.518,247.994,13.245,4344.358892,3284.68053,1059.678362
Toyota,Avalon,Passenger,8/31/2011,25.545,63.849,18.14,1631.022705,1158.22086,472.801845
Toyota,Celica,Passenger,12/29/2012,16.875,33.269,15.445,561.414375,513.839705,47.57467
Toyota,Tacoma,Car,08-01-2011,11.528,84.087,9.575,969.354936,805.133025,164.221911
Toyota,Sienna,Car,10-05-2012,22.368,65.119,14.63,1456.581792,952.69097,503.890822
Toyota,RAV4,Car,05-06-2011,16.888,25.106,13.325,423.990128,334.53745,89.452678
Toyota,4Runner,Car,03-07-2011,22.288,68.411,19.425,1524.744368,1328.883675,195.860693
Toyota,Land Cruiser,Car,9/25/2011,51.728,9.835,34.08,508.74488,335.1768,173.56808
Volkswagen,Golf,Passenger,1/24/2011,14.9,9.761,11.425,145.4389,111.519425,33.919475
Volkswagen,Jetta,Passenger,8/27/2011,16.7,83.721,13.24,1398.1407,1108.46604,289.67466
Volkswagen,Passat,Passenger,10/30/2012,21.2,51.102,16.725,1083.3624,854.68095,228.68145
Volkswagen,Cabrio,Passenger,5/31/2011,19.99,9.569,16.575,191.28431,158.606175,32.678135
Volkswagen,GTI,Passenger,04-01-2011,17.5,5.596,13.76,97.93,77.00096,20.92904
Volkswagen,Beetle,Passenger,10/20/2011,15.9,49.463,7,786.4617,346.241,440.2207
Volvo,S40,Passenger,2/18/2011,23.4,16.957,12,396.7938,203.484,193.3098
Volvo,V40,Passenger,9/21/2011,24.4,3.545,15,86.498,53.175,33.323
Volvo,S70,Passenger,11/24/2012,27.5,15.245,7.93,419.2375,120.89285,298.34465
Volvo,V70,Passenger,6/25/2011,28.8,17.531,13.87,504.8928,243.15497,261.73783
Volvo,C70,Passenger,4/26/2011,45.5,3.493,32.88,158.9315,114.84984,44.08166
Volvo,S80,Passenger,11/14/2011,36,18.969,20,682.884,379.38,303.504
